shooter,base_efg
Aaron Brooks,0.4959677419354839
Aaron Gordon,0.5291970802919708
Aaron Harrison,0.8333333333333334
Adreian Payne,0.32
Al Horford,0.5380208333333333
Al Jefferson,0.4783484390735146
Al-Farouq Aminu,0.4931972789115646
Alan Anderson,0.5222551928783383
Alec Burks,0.48048780487804876
Alex Len,0.5186666666666667
Alexis Ajinca,0.5648854961832062
Allen Crabbe,0.5410714285714285
Alonzo Gee,0.538659793814433
Amar'e Stoudemire,0.5539358600583091
Amir Johnson,0.59375
Anderson Varejao,0.32
Andre Drummond,0.516
Andre Iguodala,0.5434782608695652
Andre Miller,0.5461538461538461
Andre Roberson,0.5141843971631206
Andrea Bargnani,0.4946236559139785
Andrew Bogut,0.5858895705521472
Andrew Nicholson,0.6304347826086957
Andrew Wiggins,0.44754253308128544
Anthony Bennett,0.4242957746478873
Anthony Brown,0.2840909090909091
Anthony Davis,0.535451197053407
Anthony Morrow,0.5493716337522442
Anthony Tolliver,0.5792079207920792
Archie Goodwin,0.3888888888888889
Aron Baynes,0.5198300283286119
Arron Afflalo,0.49623250807319697
Austin Rivers,0.4957627118644068
Avery Bradley,0.4937619961612284
Ben Gordon,0.49411764705882355
Ben McLemore,0.5295902883156297
Beno Udrih,0.5
Bismack Biyombo,0.5445026178010471
Blake Griffin,0.5088832487309645
Boban Marjanovic,0.75
Bobby Portis,0.46153846153846156
Bojan Bogdanovic,0.5063157894736842
Boris Diaw,0.5088062622309197
Bradley Beal,0.48562091503267973
Brandan Wright,0.5
Branden Dawson,0
Brandon Bass,0.5052724077328646
Brandon Jennings,0.4674502712477396
Brandon Knight,0.49056603773584906
Brandon Rush,0.6385542168674698
Brian Roberts,0.46219512195121953
Brook Lopez,0.48167848699763594
C.J. Watson,0.5032786885245901
C.J. Wilcox,0
Cameron Bairstow,0.2857142857142857
Cameron Payne,0.5879120879120879
Carl Landry,0.5051194539249146
Carlos Boozer,0.5145161290322581
Carmelo Anthony,0.46671949286846276
Caron Butler,0.4769736842105263
Chandler Parsons,0.5326370757180157
Channing Frye,0.5422222222222223
Charlie Villanueva,0.5185185185185185
Chase Budinger,0.45643153526970953
Chris Andersen,0.5964285714285714
Chris Bosh,0.516751269035533
Chris Copeland,0.44089456869009586
Chris Johnson,0.52
Chris Kaman,0.4888888888888889
Chris Paul,0.5312239800166528
Christian Wood,0.4166666666666667
CJ McCollum,0.5018867924528302
CJ Miles,0.47969924812030074
Cleanthony Early,0
Cliff Alexander,0.4
Clint Capela,0.5072463768115942
Cody Zeller,0.4757914338919926
Cole Aldrich,0.483739837398374
Corey Brewer,0.5625
Cory Jefferson,0.5
Cory Joseph,0.504149377593361
Courtney Lee,0.522239263803681
D.J. Augustin,0.4716666666666667
D'Angelo Russell,0.4911111111111111
Damian Lillard,0.4929368029739777
Damien Inglis,1
Damjan Rudez,0.54739336492891
Danilo Gallinari,0.4584026622296173
Danny Green,0.5396341463414634
Dante Cunningham,0.47368421052631576
Dante Exum,0.4368421052631579
Darrell Arthur,0.4578059071729958
Darren Collison,0.511094674556213
Darrun Hilliard,0.4411764705882353
David Lee,0.4827586206896552
David West,0.4872665534804754
DeAndre Jordan,0.7164750957854407
DeJuan Blair,0.52
Delon Wright,0
DeMar DeRozan,0.45013850415512463
DeMarcus Cousins,0.4722222222222222
DeMarre Carroll,0.5527681660899654
Dennis Schroder,0.4624413145539906
Deron Williams,0.4521193092621664
Derrick Favors,0.5413870246085011
Derrick Rose,0.4429175475687104
Derrick Williams,0.46845794392523366
Devin Booker,0.5416666666666666
Devin Harris,0.4968684759916493
Dewayne Dedmon,0.6
Dion Waiters,0.45
Dirk Nowitzki,0.514616935483871
Donald Sloan,0.4676056338028169
Donatas Motiejunas,0.5432937181663837
Doug McDermott,0.5059523809523809
Draymond Green,0.5166865315852205
Drew Gooden,0.325
Dwight Howard,0.5821078431372549
Dwight Powell,0.4444444444444444
Dwyane Wade,0.4601092896174863
E'Twaun Moore,0.5686274509803921
Ed Davis,0.5964125560538116
Edy Tavares,0.6666666666666666
Elfrid Payton,0.41887125220458554
Elijah Millsap,0.25
Elliot Williams,0.3333333333333333
Emmanuel Mudiay,0.3384146341463415
Enes Kanter,0.5241935483870968
Eric Bledsoe,0.4926315789473684
Eric Gordon,0.4794871794871795
Eric Moreland,1
Erick Green,0
Ersan Ilyasova,0.551980198019802
Evan Fournier,0.514637904468413
Evan Turner,0.42943548387096775
Festus Ezeli,0.5873015873015873
Frank Kaminsky,0.46111111111111114
Garrett Temple,0.49074074074074076
Gary Harris,0.5271084337349398
Gary Neal,0.44661016949152543
George Hill,0.5613207547169812
Gerald Green,0.5096277278562259
Gerald Henderson,0.4569486404833837
Giannis Antetokounmpo,0.5022156573116692
Glen Davis,0.480225988700565
Glenn Robinson III,0.5416666666666666
Goran Dragic,0.5317018909899889
Gordon Hayward,0.505654281098546
Gorgui Dieng,0.5
Greg Monroe,0.5
Greg Smith,0.6170212765957447
Greivis Vasquez,0.4920774647887324
Harrison Barnes,0.5699831365935919
Hassan Whiteside,0.5571428571428572
Hedo Turkoglu,0.5833333333333334
Henry Sims,0.48699763593380613
Hollis Thompson,0.5011337868480725
Ian Clark,0.5647058823529412
Ian Mahinmi,0.6153846153846154
Iman Shumpert,0.28846153846153844
Isaiah Canaan,0.5091743119266054
Isaiah Thomas,0.4894534995206136
Ish Smith,0.4246575342465753
J.J. Barea,0.49074074074074076
Jabari Parker,0.45689655172413796
Jae Crowder,0.5106007067137809
Jahlil Okafor,0.46511627906976744
JaKarr Sampson,0.48455598455598453
Jamal Crawford,0.4695817490494297
Jameer Nelson,0.5
James Anderson,0.2692307692307692
James Ennis III,0.4371069182389937
James Harden,0.5171725239616614
James Johnson,0.6270270270270271
James Jones,0.4230769230769231
James Michael McAdoo,0.5625
James Young,0.45454545454545453
JaMychal Green,0.4900990099009901
Jared Cunningham,0.3902439024390244
Jared Dudley,0.5666666666666667
Jared Sullinger,0.4724972497249725
Jarell Eddie,0.39473684210526316
Jarnell Stokes,0.5
Jarrett Jack,0.4607712765957447
Jason Maxiell,0.4186046511627907
Jason Smith,0.46236559139784944
Jason Terry,0.5592105263157895
Jason Thompson,0.46006389776357826
JaVale McGee,0.5151515151515151
Jeff Green,0.46186895810955964
Jeff Teague,0.5027352297592997
Jeff Withey,0.5645161290322581
Jerami Grant,0.43791946308724833
Jeremy Evans,0.52
Jeremy Lamb,0.5145067698259188
Jeremy Lin,0.4879746835443038
Jerian Grant,0.41743119266055045
Jerome Jordan,0.5454545454545454
Jerryd Bayless,0.4846153846153846
Jimmer Fredette,0.4090909090909091
Jimmy Butler,0.500990099009901
JJ Hickson,0.4845360824742268
JJ Redick,0.580773606370876
Joakim Noah,0.4296675191815857
Jodie Meeks,0.25
Joe Harris,0.5388349514563107
Joe Ingles,0.5016077170418006
Joe Johnson,0.4865301724137931
Joe Young,0.5
Joel Anthony,0.3333333333333333
Joey Dorsey,0.5268817204301075
Joffrey Lauvergne,0.5066666666666667
John Henson,0.576271186440678
John Jenkins,0.475
John Wall,0.46621621621621623
Johnny O'Bryant III,0.48717948717948717
Jon Leuer,0.48760330578512395
Jonas Jerebko,0.5047923322683706
Jonas Valanciunas,0.5622775800711743
Jonathon Simmons,0.6190476190476191
Jordan Adams,0.3333333333333333
Jordan Clarkson,0.42363636363636364
Jordan Farmar,0.49683544303797467
Jordan Hill,0.4631205673758865
Jordan Mickey,1
Jose Calderon,0.513265306122449
Josh McRoberts,0.3181818181818182
Josh Richardson,0.4166666666666667
Josh Smith,0.38513513513513514
JR Smith,0.5681818181818182
Jrue Holiday,0.4939117199391172
Julius Randle,0.36682242990654207
Justin Anderson,0.5
Justin Holiday,0.35
Justise Winslow,0.40555555555555556
Jusuf Nurkic,0.43283582089552236
Karl-Anthony Towns,0.542016806722689
Kawhi Leonard,0.5259103641456583
Keith Appling,0.3333333333333333
Kelly Olynyk,0.5422794117647058
Kelly Oubre Jr.,0.42424242424242425
Kemba Walker,0.4605377276669558
Kendall Marshall,0.5
Kendrick Perkins,0.45320197044334976
Kenneth Faried,0.4920289855072464
Kent Bazemore,0.5292553191489362
Kentavious Caldwell-Pope,0.4673802242609582
Kevin Durant,0.6077922077922078
Kevin Garnett,0.46480938416422285
Kevin Love,0.5076687116564417
Kevin Martin,0.44594594594594594
Kevin Seraphin,0.5060532687651331
Khris Middleton,0.524556616643929
Kirk Hinrich,0.4415954415954416
KJ McDaniels,0.4461722488038278
Klay Thompson,0.5668389955686853
Kobe Bryant,0.4103448275862069
Kosta Koufos,0.5148809523809523
Kostas Papanikolaou,0.42488262910798125
Kris Humphries,0.47276688453159044
Kristaps Porzingis,0.49047619047619045
Kyle Anderson,0.4305555555555556
Kyle Korver,0.6625615763546798
Kyle Lowry,0.4662731871838111
Kyle O'Quinn,0.5108303249097473
Kyle Singler,0.4830316742081448
Kyrie Irving,0.5282542885973764
Lamar Patterson,0.39705882352941174
LaMarcus Aldridge,0.4620200333889816
Lance Stephenson,0.3956611570247934
Lance Thomas,0.5221518987341772
Langston Galloway,0.463855421686747
Larry Nance Jr.,0.5157894736842106
Lavoy Allen,0.47039473684210525
Leandro Barbosa,0.4930167597765363
LeBron James,0.5246865203761756
Lorenzo Brown,0
Lou Amundson,0.5
Lou Williams,0.4843073593073593
Luc Mbah a Moute,0.4570093457943925
Lucas Nogueira,0.5
Luis Montero,0.42857142857142855
Luis Scola,0.4813664596273292
Luke Babbitt,0.6160220994475138
Luol Deng,0.5385756676557863
Manu Ginobili,0.5144557823129252
Marc Gasol,0.48114901256732495
Marcelo Huertas,0.5
Marcin Gortat,0.5375647668393783
Marco Belinelli,0.4947033898305085
Marcus Morris Sr.,0.5096969696969696
Marcus Smart,0.4387755102040816
Marcus Thornton,0.5279805352798054
Mario Chalmers,0.4645669291338583
Mario Hezonja,0.4791666666666667
Markel Brown,0.35
Markieff Morris,0.4890590809628009
Marreese Speights,0.47016129032258064
Marvin Williams,0.5217785843920145
Mason Plumlee,0.5476190476190477
Matt Barnes,0.5267857142857143
Matt Bonner,0.5024390243902439
Matthew Dellavedova,0.48286604361370716
Maurice Harkless,0.5060240963855421
Metta World Peace,0.5263157894736842
Meyers Leonard,0.5871212121212122
Michael Carter-Williams,0.4231274638633377
Michael Kidd-Gilchrist,0.4715447154471545
Mike Conley,0.4849699398797595
Mike Miller,0.45089285714285715
Mike Muscala,0.5147058823529411
Mike Scott,0.525
Miles Plumlee,0.625
Mirza Teletovic,0.526255707762557
Mitch McGary,0.16666666666666666
Mo Williams,0.5029761904761905
Monta Ellis,0.47633136094674555
Montrezl Harrell,0.9
Myles Turner,0.6666666666666666
Nate Robinson,0.39901477832512317
Nemanja Bjelica,0.6209677419354839
Nene,0.5306691449814126
Nerlens Noel,0.44814814814814813
Nick Collison,0.43190661478599224
Nick Young,0.46245733788395904
Nicolas Batum,0.48555276381909546
Nik Stauskas,0.4188034188034188
Nikola Jokic,0.548
Nikola Mirotic,0.4763374485596708
Nikola Pekovic,0.6363636363636364
Nikola Vucevic,0.53515625
Noah Vonleh,0.45
Norman Powell,0.14285714285714285
Norris Cole,0.4282511210762332
O.J. Mayo,0.47360248447204967
Omer Asik,0.5060240963855421
Omri Casspi,0.5327868852459017
Otto Porter Jr.,0.49577167019027485
P.J. Tucker,0.5231854838709677
Pablo Prigioni,0.5396825396825397
Pat Connaughton,0.14285714285714285
Patrick Beverley,0.4953183520599251
Patrick Patterson,0.5435643564356436
Patty Mills,0.5931372549019608
Pau Gasol,0.4959349593495935
Paul George,0.4605263157894737
Paul Millsap,0.5188968335035751
Paul Pierce,0.5298621745788668
Pero Antic,0.4391891891891892
Phil Pressey,0.3076923076923077
PJ Hairston,0.4775641025641026
Quincy Acy,0.5115830115830116
Rajon Rondo,0.46226415094339623
Ramon Sessions,0.4078282828282828
Randy Foye,0.4166666666666667
Rashad Vaughn,0.3870967741935484
Rasual Butler,0.5269953051643192
Raul Neto,0.4961832061068702
Ray McCallum,0.44901960784313727
Raymond Felton,0.436
Reggie Bullock,0
Reggie Jackson,0.4713467048710602
Richard Jefferson,0.559016393442623
Richaun Holmes,0.5972222222222222
Ricky Rubio,0.3975409836065574
RJ Hunter,0.46226415094339623
Robbie Hummel,0.5210084033613446
Robert Covington,0.48105436573311366
Robert Sacre,0.4117647058823529
Robin Lopez,0.4913294797687861
Rodney Hood,0.496
Rodney Stuckey,0.484297520661157
Rondae Hollis-Jefferson,0.4605263157894737
Ronnie Price,0.4087301587301587
Roy Hibbert,0.44104134762633995
Rudy Gay,0.4817615658362989
Rudy Gobert,0.6242424242424243
Russ Smith,0.40625
Russell Westbrook,0.472621492128679
