headshot,shooter,streak_fga,streak_efg,base_efg,pct_open,efg_open,efg_tight,coverage_diff,col_fga,col_efg,col_base,col_pct,col_open,col_tight,icon_fg_diff
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201166.png' height='29.2307692307692'>,Aaron Brooks,57,0.509,0.496,0.439,0.48,0.531,0.051,#DFEDF1,#DFEDF1,#F7EEDD,#EDF3F4,#DCEBF0,#E1EDF2,https://images.emojiterra.com/google/android-11/512px/1f525.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png' height='29.2307692307692'>,Aaron Gordon,13,0.462,0.529,0.308,0,0.667,0.667,#B8DCE8,#DAEBF0,#F8E8CB,#DAEBF0,#ADD8E6,#EEF3F5,https://images.emojiterra.com/google/android-11/512px/1f525.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203940.png' height='29.2307692307692'>,Adreian Payne,2,0.75,0.32,1,0.75,0,-0.75,#AED8E6,#F7F7F7,#E1EEF2,#FFA500,#F7F7F7,#ADD8E6,https://images.emojiterra.com/google/android-10/512px/1f9ca.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png' height='29.2307692307692'>,Al Horford,110,0.555,0.538,0.6,0.485,0.659,0.174,#F9DDAA,#E3EEF2,#F8E6C6,#F8E6C5,#DCECF0,#EEF3F4,https://images.emojiterra.com/google/android-11/512px/1f525.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2744.png' height='29.2307692307692'>,Al Jefferson,115,0.426,0.478,0.374,0.512,0.375,-0.137,#F9D89B,#D7E9EF,#F7F1E7,#E4EFF2,#DFEDF1,#D2E7EE,https://images.emojiterra.com/google/android-10/512px/1f9ca.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png' height='29.2307692307692'>,Al-Farouq Aminu,38,0.618,0.493,0.605,0.717,0.467,-0.251,#CEE6ED,#E9F1F4,#F7EFDF,#F8E5C3,#F3F5F6,#DBEBF0,https://images.emojiterra.com/google/android-10/512px/1f9ca.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png' height='29.2307692307692'>,Alan Anderson,27,0.556,0.522,0.556,0.433,0.708,0.275,#C4E1EB,#E3EEF2,#F8E9CF,#F7EDDB,#D7E9EF,#F2F5F6,https://images.emojiterra.com/google/android-11/512px/1f525.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png' height='29.2307692307692'>,Alec Burks,19,0.842,0.48,0.474,1.111,0.6,-0.511,#BDDFE9,#F7ECD8,#F7F1E6,#F3F5F6,#FACF80,#E8F0F3,https://images.emojiterra.com/google/android-10/512px/1f9ca.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png' height='29.2307692307692'>,Alex Len,40,0.6,0.519,0.4,0.5,0.667,0.167,#D0E6EE,#E8F0F3,#F8EAD1,#E8F0F3,#DEECF1,#EEF3F5,https://images.emojiterra.com/google/android-11/512px/1f525.png
<img src='https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201582.png' height='29.2307692307692'>,Alexis Ajinca,32,0.562,0.565,0.312,0.5,0.591,0.091,#C9E3EC,#E4EFF2,#F9E2B7,#DBEBF0,#DEECF1,#E7F0F3,https://images.emojiterra.com/google/android-11/512px/1f525.png
